id,web_name,team_name,team_short_name,position,price,selected_by_percent,total_points,minutes,goals_scored,assists,form,points_per_game,ict_index,influence,creativity,threat,status,news,chance_of_playing_next_round,availability,opponent,home,fixture_difficulty,fixture_adjustment,base_projection,projected_points,value
298,Destan,Hull City,HUL,FWD,4.5,2.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,MUN,True,,1.0,0.0,0.0,0.0
299,Burstow,Hull City,HUL,FWD,4.5,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,u,Has joined Sheffield Wednesday on loan for the rest of the season,0.0,0.0,MUN,True,,1.0,0.0,0.0,0.0
556,Targett,Hull City,HUL,DEF,4.0,2.8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,MUN,True,,1.0,0.0,0.0,0.0
563,Morita,Hull City,HUL,MID,5.0,0.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,MUN,True,,1.0,0.0,0.0,0.0
572,Tzolakis,Hull City,HUL,GKP,4.5,0.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,MUN,True,,1.0,0.0,0.0,0.0
300,Walton,Ipswich Town,IPS,GKP,4.5,0.6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,SUN,True,,1.0,0.0,0.0,0.0
301,Palmer,Ipswich Town,IPS,GKP,4.0,5.9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,SUN,True,,1.0,0.0,0.0,0.0
302,Button,Ipswich Town,IPS,GKP,4.0,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,SUN,True,,1.0,0.0,0.0,0.0
303,Kipré,Ipswich Town,IPS,DEF,4.0,0.4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,SUN,True,,1.0,0.0,0.0,0.0
436,Collyer,Man Utd,MUN,MID,5.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,HUL,False,,1.0,0.0,0.0,0.0
441,Obi,Man Utd,MUN,FWD,4.5,1.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,HUL,False,,1.0,0.0,0.0,0.0
443,Gillespie,Newcastle,NEW,GKP,4.5,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,LIV,True,,1.0,0.0,0.0,0.0
444,Jaouen,Newcastle,NEW,GKP,4.5,0.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,LIV,True,,1.0,0.0,0.0,0.0
75,Christie,Bournemouth,BOU,MID,5.0,0.0,47,978,2,1,0.0,1.8,64.7,226.6,197.0,220.0,s,Suspended until 29 Aug,0.0,0.0,MCI,False,,1.0,13.48,0.0,0.0
78,Kroupi.Jr,Bournemouth,BOU,MID,7.5,3.9,113,1663,13,0,0.0,3.4,139.9,532.2,306.9,563.0,i,Foot injury - Unknown return date,0.0,0.0,MCI,False,,1.0,29.000000000000004,0.0,0.0
81,Rodríguez,Bournemouth,BOU,FWD,6.0,0.3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,MCI,False,,1.0,0.0,0.0,0.0
566,Silva,Bournemouth,BOU,DEF,5.0,0.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,MCI,False,,1.0,0.0,0.0,0.0
573,Sanchez,Bournemouth,BOU,DEF,4.5,0.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,MCI,False,,1.0,0.0,0.0,0.0
459,L.Miley,Newcastle,NEW,MID,5.5,0.0,72,1493,1,4,0.0,3.1,73.0,342.6,251.4,136.0,i,Leg injury - Expected back 30 Aug,0.0,0.0,LIV,True,,1.0,15.530000000000001,0.0,0.0
461,Touré,Newcastle,NEW,MID,6.0,0.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,LIV,True,,1.0,0.0,0.0,0.0
462,Steur,Newcastle,NEW,MID,5.0,0.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,LIV,True,,1.0,0.0,0.0,0.0
559,Bamba,Newcastle,NEW,MID,5.0,0.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,LIV,True,,1.0,0.0,0.0,0.0
567,Horníček,Newcastle,NEW,GKP,5.0,0.3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,LIV,True,,1.0,0.0,0.0,0.0
58,Forster,Bournemouth,BOU,GKP,4.0,3.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,MCI,False,,1.0,0.0,0.0,0.0
59,Dennis,Bournemouth,BOU,GKP,4.0,0.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,MCI,False,,1.0,0.0,0.0,0.0
63,Milosavljević,Bournemouth,BOU,DEF,5.0,0.1,19,367,0,0,0.0,2.7,12.2,98.4,13.9,10.0,i,Unspecified injury - Unknown return date,0.0,0.0,MCI,False,,1.0,3.25,0.0,0.0
176,Dasilva,Coventry City,COV,DEF,4.0,0.6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,ARS,False,,1.0,0.0,0.0,0.0
177,Kesler-Hayden,Coventry City,COV,DEF,4.0,0.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,ARS,False,,1.0,0.0,0.0,0.0
178,Bidwell,Coventry City,COV,DEF,4.0,0.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,ARS,False,,1.0,0.0,0.0,0.0
179,Latibeaudiere,Coventry City,COV,DEF,4.0,0.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,ARS,False,,1.0,0.0,0.0,0.0
180,Woolfenden,Coventry City,COV,DEF,4.0,0.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,ARS,False,,1.0,0.0,0.0,0.0
