id,web_name,photo,team_name,team_short_name,position,price,selected_by_percent,total_points,minutes,goals_scored,assists,form,points_per_game,ict_index,influence,creativity,threat,status,news,chance_of_playing_next_round,availability,opponent,home,fixture_difficulty,fixture_adjustment,base_projection,projected_points,value
402,Rodrigo,220566.jpg,Man City,MCI,MID,6.5,0.1,69,1510,1,1,0.0,3.3,90.3,358.0,421.5,122.0,i,Back injury - Unknown return date,0.0,0.0,BOU,True,,1.0,4.2,0.0,0.0
128,Buonanotte,536916.jpg,Brighton,BHA,MID,5.0,0.0,3,81,0,0,0.0,0.8,7.4,13.2,40.0,21.0,u,Has joined Elche on loan for the rest of the season,0.0,0.0,AVL,True,,1.0,2.97228225740325,0.0,0.0
131,Baleba,535301.jpg,Brighton,BHA,MID,5.0,0.4,56,1646,0,0,0.0,1.8,36.8,166.8,156.3,44.0,i,Ankle injury - Expected back 23 Aug,0.0,0.0,AVL,True,,1.0,2.5960191435633764,0.0,0.0
475,Savona,500151.jpg,Nott'm Forest,NFO,DEF,4.5,0.0,39,1025,2,0,0.0,2.8,43.5,216.6,123.2,94.0,i,Knee injury - Unknown return date,0.0,0.0,LEE,True,,1.0,3.2,0.0,0.0
133,Watson,549074.jpg,Brighton,BHA,MID,5.0,0.0,5,57,0,0,0.0,0.8,1.6,6.0,2.4,7.0,u,Has joined Leicester City on loan for the rest of the season,0.0,0.0,AVL,True,,1.0,4.2,0.0,0.0
139,Ferguson,487117.jpg,Brighton,BHA,FWD,5.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,i,Ankle injury - Expected back 10 Oct,0.0,0.0,AVL,True,,1.0,1.6565023392678924,0.0,0.0
143,Chalobah,180736.jpg,Chelsea,CHE,DEF,5.5,1.6,136,2780,3,1,0.0,4.0,99.1,719.2,111.2,160.0,u,Has joined Como permanently,0.0,0.0,FUL,False,,1.0,3.2254443030161104,0.0,0.0
145,Fofana,444463.jpg,Chelsea,CHE,DEF,5.0,0.0,65,1718,0,2,0.0,2.6,60.4,463.6,65.6,74.0,s,Suspended until 6 Sep,0.0,0.0,FUL,False,,1.0,1.18119681676221,0.0,0.0
459,L.Miley,547719.jpg,Newcastle,NEW,MID,5.5,0.0,72,1493,1,4,0.0,3.1,73.0,342.6,251.4,136.0,i,Leg injury - Expected back 30 Aug,0.0,0.0,LIV,True,,1.0,1.2423767544509194,0.0,0.0
197,Bassette,549653.jpg,Coventry City,COV,FWD,4.5,0.3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,u,Has joined KVC Westerlo on loan for the rest of the season,0.0,0.0,ARS,False,,1.0,4.0,0.0,0.0
225,Uche,660392.jpg,Crystal Palace,CRY,FWD,5.0,0.0,17,159,0,1,0.0,1.2,8.8,13.2,7.1,73.0,u,has returned to Getafe CF,0.0,0.0,EVE,False,,1.0,4.0,0.0,0.0
433,Ugarte,232112.jpg,Man Utd,MUN,MID,5.0,0.0,38,876,0,0,0.0,1.7,29.8,167.2,83.6,48.0,i,Knee injury - Unknown return date,0.0,0.0,HUL,False,,1.0,4.2,0.0,0.0
239,Garner,232928.jpg,Everton,EVE,MID,6.0,0.5,159,3413,2,7,0.0,4.2,208.4,887.0,958.0,237.0,i,Groin injury - Expected back 22 Aug,0.0,0.0,CRY,True,,1.0,1.6209894363415462,0.0,0.0
416,De Ligt,209365.jpg,Man Utd,MUN,DEF,5.0,0.0,43,1170,1,0,0.0,3.3,45.7,276.6,60.2,122.0,i,Back injury - Unknown return date,0.0,0.0,HUL,False,,1.0,2.2733844797180995,0.0,0.0
413,Bayindir,451302.jpg,Man Utd,MUN,GKP,4.5,0.1,11,540,0,0,0.0,1.8,12.8,118.4,10.0,0.0,u,Has joined Celta Vigo on loan for the rest of the season,0.0,0.0,HUL,False,,1.0,2.2,0.0,0.0
253,Andersen,174874.jpg,Fulham,FUL,DEF,5.0,0.1,123,2882,0,1,0.0,3.7,107.0,790.6,131.0,148.0,s,Suspended until 30 Aug,0.0,0.0,CHE,True,,1.0,1.5180992060343228,0.0,0.0
281,Drameh,433590.jpg,Hull City,HUL,DEF,4.0,0.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,i,Hamstring injury - Expected back 29 Aug,0.0,0.0,MUN,True,,1.0,3.2,0.0,0.0
